ID	Source	Change	Target
NahuatlOmitlan0001	tehuatl amo otinechnextilito nin tlatzotzonal	HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, PURPOSIVE:NA	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0002	quicochtihtoc iconeu	PERSON[OBJ]:3_PL, PERSON[POSS]:NA	quincochtihtoc coconeh
NahuatlOmitlan0003	yehuatl amo quinnexitilis nin tlatzotzonal	PERSON[IOBJ]:NA, PERSON[OBJ]:NA, PERSON[SUBJ]:3_PL, TENSE:PRE_SIM, TRANSITIV:ITR, TYPE:AFF	tetlanextiliah
NahuatlOmitlan0004	amo simi onechpactaya	MOOD:COND	amo simi nechpactisquia
NahuatlOmitlan0005	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:IPFV, PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:PAS_SIM	yehuan otechnextilitoyah nin tlatzotzonal
NahuatlOmitlan0006	quicochtihtoc in conetl	PERSON[POSS]:1_SI, PERSON[SUBJ]:1_SI	niccochtia noconeu
NahuatlOmitlan0007	tocontzacuas mochantzin	HON:NA, MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuacan nimochan
NahuatlOmitlan0008	nihnimisqueh ic tocalihtic	ASPECT:PFV, HON:1, MOOD:INT, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	¿mox amo otonnihnin ic nocalihtic?
NahuatlOmitlan0009	onihnin ic nocalihtic	ASPECT:IPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL	onihnimiyah ic tocalihtic
NahuatlOmitlan0010	teh oticchihchiu in tlaxcal	HON:1, PERSON[POSS]:2_SI, PURPOSIVE:VEN, TENSE:PRE_SIM	tehuatzin toconchihchiuaqui motlaxcaltzin
NahuatlOmitlan0011	milauac xiuiqui	PERSON[SUBJ]:3_PL	milauac mauiqueh
NahuatlOmitlan0012	nehuatl nimitznextilis nin tlatzotzonal	ASPECT:PFV, HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAS_SIM, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0013	nimehuan quixtisquiah nimoprimaria	MOOD:NA, PERSON[POSS]:3_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	yehuan amo quiquixtisqueh imprimaria
NahuatlOmitlan0014	quipiyas se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0015	ticpiya se yolcatl	MOOD:COND, PERSON[SUBJ]:3_PL	ocpiyasquiah se yolcatl 
NahuatlOmitlan0016	oquitzacu ichan	HON:1, PERSON[POSS]:2_SI, PERSON[SUBJ]:2_SI, TENSE:FUT_SIM	tocontzacuas mochantzin
NahuatlOmitlan0017	nihnimi ic incalihtic	ASPECT:IPFV, PERSON[POSS]:3_SI, PERSON[SUBJ]:1_PL, TENSE:PAS_SIM, TYPE:NEG	amo otinihnintoyah ic icalihtic
NahuatlOmitlan0018	simi tictlasohtlas	PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM	simi niquintlasohtlah
NahuatlOmitlan0019	yehuatl onechnextileh nin tlatzotzonal	HON:1, PERSON[IOBJ]:3_SI, PERSON[OBJ]:3_PL, PERSON[SUBJ]:2_PL, TYPE:NEG	nimehuantzitzin amo onoconnextilihqueh nin tlatzotzonal
NahuatlOmitlan0020	quicochtihtoc in conetl	ASPECT:PFV, PERSON[POSS]:0, TENSE:PAS_SIM, TYPE:NEG	amo occochtito conetl
NahuatlOmitlan0021	onihnin ic nocalihtic	PERSON[POSS]:2_PL, TYPE:NEG	amo onihnin ic nimocalihtic
NahuatlOmitlan0022	quipiyas se yolcatl	ASPECT:DUR, PERSON[SUBJ]:1_SI, TENSE:PRE_SIM, TYPE:NEG	amo nicpixtoc se yolcatl
NahuatlOmitlan0023	simi quipactia	PERSON[OBJ]:2_SI, PERSON[SUBJ]:3_PL	simi mitzpactiah
NahuatlOmitlan0024	ticpiya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0025	ocpiyasquiah se yolcatl 	ASPECT:PFV, HON:1, MOOD:NA, PERSON[SUBJ]:2_SI, TENSE:PAS_SIM, TYPE:NEG	amo otoconpix se yolcatl
NahuatlOmitlan0026	juan octzicuinaltito in yolcameh	PURPOSIVE:VEN	juan octzicuinaltico in yolcatl
NahuatlOmitlan0027	"huan oquilueh ""quema."""	PERSON[IOBJ]:1_PL, PERSON[SUBJ]:3_PL, TENSE:FUT_SIM, TYPE:NEG	"huan amo techiluisqueh ""quema"""
NahuatlOmitlan0028	onicpiyaya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0029	oquincochtitoya iconeuan	HON:1, PERSON[POSS]:1_SI, PERSON[SUBJ]:2_SI, TENSE:PRE_SIM, ASPECT:NA	tocomoncochtia noconeuan
NahuatlOmitlan0030	onicpiyaya se yolcatl	PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL, TENSE:FUT_SIM	tiquimpiyasqueh siqui yolcameh
NahuatlOmitlan0031	nicpiya se yolcatl	PERSON[SUBJ]:3_SI, TENSE:FUT_SIM	quipiyas se yolcatl
NahuatlOmitlan0032	oquitzacu ichan	MOOD:IMP, PERSON[POSS]:2_PL, PERSON[SUBJ]:2_PL, TENSE:PRE_SIM, TYPE:NEG	amo xictzacuacan nimochan
NahuatlOmitlan0033	juan quitzicuinaltihtoc in yolcatl	ASPECT:PFV, PERSON[OBJ]:3_PL, PERSON[POSS]:3_SI, TENSE:PAS_SIM, TYPE:NEG	juan amo oquintzicuinalteh iyolcauan
NahuatlOmitlan0034	juan quintzicuinaltis in yolcameh	PERSON[OBJ]:3_SI, TENSE:PRE_SIM	juan quitzicuinaltia in yolcatl
