ID	Source	Change	System	Output
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	TARGET_____	Be' tö ù sú̠
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	GPT_EX3____	Be' tö ù sú̠
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	GPT_EX5____	Be' tö ù sú̠
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	GPT_EX10___	Be' tö ù sú̠
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	GPT_EX20___	Be' tö ù sú̠
Bribri0063	Ye' tö ù sú̠	PERSON:2_SI	GPT_EX10BGR	Be' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	TARGET_____	Ie' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	GPT_EX3____	Ie' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	GPT_EX5____	Ie' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	GPT_EX10___	Ie' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	GPT_EX20___	Ie' tö ù sú̠
Bribri0064	Ye' tö ù sú̠	PERSON:3_SI	GPT_EX10BGR	Ie' tö ù sú̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	TARGET_____	Sa' tö ù sú̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	GPT_EX3____	Ye' tö ù chwe̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	GPT_EX5____	Ye' tö ù chwe̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	GPT_EX10___	Ye' tö ù chwe̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	GPT_EX20___	Ye' tö ù chwe̠
Bribri0065	Ye' tö ù sú̠	PERSON:1_PL_EXC	GPT_EX10BGR	Sa' tö ù sú̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	TARGET_____	Se' tö ù sú̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	GPT_EX3____	Ye' tö ù chwe̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	GPT_EX5____	Ye' tö ù chwe̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	GPT_EX10___	Ye' tö ù chwe̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	GPT_EX20___	Ye' tö ù chwe̠
Bribri0066	Ye' tö ù sú̠	PERSON:1_PL_INC	GPT_EX10BGR	Sa' tö ù sú̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	TARGET_____	A' tö ù sú̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	GPT_EX3____	Ye' tö ù yé̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	GPT_EX5____	Ye' tö ù yé̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	GPT_EX10___	Ye' tö ú̠ sú̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	GPT_EX20___	Ye' tö ù yé̠
Bribri0067	Ye' tö ù sú̠	PERSON:2_PL	GPT_EX10BGR	Ja' tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	TARGET_____	Ie'pa tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	GPT_EX3____	Ye'pa tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	GPT_EX5____	Ye'pa tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	GPT_EX10___	Ye'pa tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	GPT_EX20___	Ye'pa tö ù sú̠
Bribri0068	Ye' tö ù sú̠	PERSON:3_PL	GPT_EX10BGR	Yiépa tö ù sú̠
Bribri0069	Ye' tö ù sú̠	TENSE:PRF_REC	TARGET_____	Ye' tö ù sa̠wé̠
