Source,Change,Target
amo masectlali ipan mesa,"ASPECT:PERFV, MOOD:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_SI, TENSE:PAST, TYPE:AFF",amotlalitil ipehuaya in mace
in chilmeh isqueh chichiltiqueh,"MOOD:COND, PERSON[SUBJ]:3_SI, TYPE:NEG",in chilmeh isqueh chichiltiqueh ma quichih
ninqueh calmeh uehueyen,"PERSON[SUBJ]:3_SI, TENSE:FUT",ninqueh calmeh uehueyen in tlacatl
nin cali isqui ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",nin cali isqui ueyi inmiqui
¿mox ticchihchiuas yayamatzin?,"ASPECT:IMPFV, MOOD:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",¿amo ticchihchiuas yayamatzin?
tiyoueh in iluitl,"MOOD:OPT, PERSON[SUBJ]:3_PL",tiyoueh in iluitl
nin cali amo ueyi,"PERSON[SUBJ]:3_PL, TENSE:FUT, TYPE:AFF",nin cali amo ueyi in tlamantli
in chilmeh chichiltiqueh,"MOOD:COND, PERSON[SUBJ]:3_SI, TYPE:NEG",in chilmeh chichiltiqueh ca niquimotzetiliz
amo niualasquiah nican,"MOOD:OPT, PERSON[SUBJ]:3_SI, TYPE:AFF",amoniuallasquiah nican
in chili ocatca chichiltic,"PERSON[POSS]:3_SI, PERSON[SUBJ]:3_PL, TENSE:PRES, TYPE:NEG",in chili ocatca chichiltic
nin cali amo ueyi,"PERSON[SUBJ]:3_PL, TYPE:AFF",nin cali amo ueyi
ninqueh calmeh ocatcah uehueyen,TENSE:FUT,ninqueh calmeh ocatcah uehueyen in oquichtli
nicchihchiuas yayamatzin,"ASPECT:DUR, PERSON[OBJ]:3_PL, TENSE:PRES",nicchihchihuan yayamatzin
uitz nican,"MOOD:COND, PERSON[SUBJ]:2_PL, TYPE:NEG",uitz nicamo
niquinchihchiutoc yayamatzitzin,"MOOD:INT, PERSON[OBJ]:3_SI, PERSON[SUBJ]:2_SI, TENSE:FUT",niquinchihchiuh yayamatzitzin
nicchihchiuas yayamatzin,"MOOD:INT, PERSON[SUBJ]:2_SI",nicchihchiuas yayamatzin
youi nochan yexpa,"ASPECT:IMPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PAST",nochan yexpa inyoi
in chili chichiltic,"MOOD:COND, TYPE:NEG",in chili chichiltic noyol
otoconchichiu yayamatzin,"HON:NA, PERSON[SUBJ]:3_SI, TENSE:PRES",otoconchichiu yayamatzin
quichihchiua yayamatzin,"ASPECT:DUR, PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_SI",niquichihchiuaya yayamatzin
oniyah mochan yexpa,"PERSON[POSS]:1_SI, PERSON[SUBJ]:3_SI, TENSE:PRES",oniyah mochan yexpa
quichihchiua yayamatzin,"ASPECT:IMPFV, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",quichihchiuaya yayamatzin
amo niualasquiah nican,"MOOD:OPT, PERSON[SUBJ]:3_PL",amo niualasquiah nican
in chili chichiltic,"ASPECT:IMPFV, TENSE:PAST",in chili chichiltic in tlapacholiztli
tiuitzeh nican,"MOOD:OPT, PERSON[SUBJ]:3_SI",tiuitzeh nican iuhtlaz
nin cali isqui ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST",nin cali isqui ueyi
amo youeh in iluitl,"MOOD:OPT, TYPE:AFF",amoyoueh in iluitl
in chili chichiltic,PERSON[SUBJ]:3_PL,in chili chichiltic
xiuiqui nican,PERSON[SUBJ]:2_PL,xiuiqui niman
xiuiqui nican,"MOOD:OPT, PERSON[SUBJ]:3_SI",xiqui nican
tiyoueh in iluitl,"PERSON[SUBJ]:3_PL, TYPE:NEG",tiyoueh in iluitl ayyo
oniyah mochan yexpa,"MOOD:COND, PERSON[POSS]:3_PL, PERSON[SUBJ]:1_PL",yexpa oniyah mochan
in chili chichiltic,"PERSON[POSS]:3_SI, PERSON[SUBJ]:3_PL, TYPE:NEG",in chili chichiltic noyollohuane
nin cali isqui ueyi,PERSON[SUBJ]:3_PL,nin cali isqui ueyi
amo mauiqueh nican,"PERSON[SUBJ]:3_SI, TYPE:AFF",amo mauiqueh nican in quicuicatl
ninqueh calmeh ocatcah uehueyen,TYPE:NEG,ninqueh calmeh ocatcah uenon uehueyen
xiuiqueh nican,"MOOD:OPT, PERSON[SUBJ]:3_SI",xiuiqueh nican
neh nictzahtzilihtinimi moprimo,"PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_PL",nictzahtzilihtinimi moprimo
oniyah in iluitl,"PERSON[SUBJ]:3_PL, TENSE:PRES, TYPE:NEG",oniyah in iluitl
nin cali ueyi,TENSE:FUT,nin cali ueyi in tlacatl
xiuiqueh nican,"MOOD:NA, PERSON[SUBJ]:3_SI, TENSE:PRES",xiquitih nican
oniyah in iluitl,"PERSON[SUBJ]:1_PL, TENSE:PRES",oniyah in iluitl
tiyoueh in iluitl,PERSON[SUBJ]:3_SI,tiyoueh in iluitl
in chilmeh chichiltiqueh,TENSE:FUT,in chilmeh chichiltiqueh in tichiloh
in chili chichiltic,"PERSON[SUBJ]:3_PL, TENSE:FUT",in chili chichiltic tlamahuizoltic
otoconchichiu yayamatzin,"ASPECT:IMPFV, HON:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_PL, TYPE:NEG",otoconchichihuayāmatzin
nin cali ueyi,"ASPECT:IMPFV, TENSE:PAST",nin cali ueyi in nelli
ninqueh calmeh uehueyen,TENSE:FUT,ninqueh calmeh uehueyen in tlahueliloc
tiyasquiah inchan yexpa,"ASPECT:IMPFV, MOOD:NA, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TENSE:PAST",tiyasquiah inchan yexpa
nimehuan amo onictzahtzilitinimiyah inprimo,"HON:1, PERSON[OBJ]:2_SI, PERSON[POSS]:NA, PERSON[SUBJ]:3_SI",nimehuan amo onictzahtzilitziliz inprimo
xiuiqui nican,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:NEG",amo xiuicmiqui nican
tiualasqueh nican,"PERSON[SUBJ]:3_SI, TENSE:PRES",tiualasqueh nican
ninqueh calmeh uehueyen,"ASPECT:IMPFV, TENSE:PAST, TYPE:NEG",ninqueh calmeh uehueyen nechca
ninqueh calmeh uehueyen,"ASPECT:IMPFV, TENSE:PAST",ninqueh calmeh uehueyen in miqui
xiuiqui nican,"MOOD:NA, PERSON[SUBJ]:3_SI, TENSE:PRES",xiquimican
tiuitzeh nican,PERSON[SUBJ]:3_SI,tiuitzeh nican in tlacatl
nin cali amo ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:AFF",nin cah amo ueyi
xiuiqueh nican,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:NEG",amo xiuiqueh nican
nin cali ocatca ueyi,"PERSON[SUBJ]:3_PL, TYPE:NEG",nin cali ocatca ueyi yehuan
neh nictzahtzilihtinimi moprimo,"ASPECT:IMPFV, HON:1, PERSON[OBJ]:2_SI, PERSON[POSS]:NA, PERSON[SUBJ]:3_SI, TENSE:PAST, TYPE:NEG",nictzahtzilihtinimi moprimo
nin cali ocatca ueyi,PERSON[SUBJ]:3_PL,nin cali ocatca ueyi
quichihchiua yayamatzin,"MOOD:INT, PERSON[SUBJ]:2_SI, TENSE:FUT",quichihchiuani yayamatzin
oniyah in iluitl,TYPE:NEG,oniyah in iluitl
nin cali ueyi,"PERSON[SUBJ]:3_PL, TENSE:FUT",nin cali ueyi in omotlati
xiuiqui nican,"MOOD:NA, PERSON[SUBJ]:1_PL, TENSE:FUT",nitlazotla in nican
xiuiqueh nican,"MOOD:COND, TYPE:NEG",xiuiqueh nican mochi
uitz nican,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:NEG",uitz nican mochi
nicchihchiuas yayamatzin,"PERSON[SUBJ]:3_SI, TENSE:PRES",nicchihchiuas yayamatzin
nin cali amo ueyi,"ASPECT:IMPFV, TENSE:PAST, TYPE:AFF",nin cali amo ueyi in nican
oniyah mochan yexpa,"ASPECT:IMPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL",moniyah mochan yexpa
tiyoueh in iluitl,"ASPECT:PERFV, PERSON[SUBJ]:1_SI, TENSE:PAST, TYPE:NEG",tiyoueh in iluitl nochi
tiualasqueh nican,TENSE:PRES,tiualasqueh niqui
in chili amo isquia chichiltic,"MOOD:NA, PERSON[POSS]:3_SI, PERSON[SUBJ]:3_PL, TENSE:PRES",in chili amo isquia chichiltic
in chili ocatca chichiltic,"MOOD:COND, TYPE:NEG",in chili ocatca chichiltic yehuan
oniyah in iluitl,"PERSON[SUBJ]:3_SI, TENSE:PRES",oniyah in iluitl
tiualasqueh nican,"MOOD:COND, PERSON[SUBJ]:2_PL, TYPE:NEG",tiualasqueh niman
nimehuan amo onictzahtzilitinimiyah inprimo,"PERSON[OBJ]:3_PL, PERSON[POSS]:2_SI, PERSON[SUBJ]:1_PL, TENSE:PRES, TYPE:AFF",onitoh nimitzaziltiliztli in miquimo
youi in iluitl,"MOOD:OPT, PERSON[SUBJ]:3_PL",in ilhuicac
amo oniyaca in iluitl ,"PERSON[SUBJ]:3_PL, TENSE:PRES",amoniyacan in iluitl
nin cali amo ueyi,"TENSE:FUT, TYPE:AFF",nin cali amo ueyi in tlahtolli
otoconchichiu yayamatzin,"ASPECT:DUR, HON:NA, PERSON[OBJ]:3_PL, PERSON[SUBJ]:1_SI, TENSE:PRES",nitlalnahuatia otoconchichiu yayamatzin
amo oniyaca in iluitl ,"PERSON[SUBJ]:3_SI, TENSE:PRES, TYPE:AFF",amoniyac in iluitl
neh nictzahtzilihtinimi moprimo,"ASPECT:IMPFV, PERSON[POSS]:3_PL, PERSON[SUBJ]:2_PL, TENSE:PAST, TYPE:NEG",niman nictzahtzilihtinimi moprimo
nicchihchiuas yayamatzin,"ASPECT:PERFV, HON:1, PERSON[SUBJ]:2_SI, TENSE:PAST",nicchihchihuas yayamatzin
oniyah mochan yexpa,"PERSON[POSS]:2_PL, PERSON[SUBJ]:3_SI, TYPE:NEG",oniyah mochan yexpa
oniyah in iluitl,"MOOD:OPT, PERSON[SUBJ]:3_PL",oniyah in iluitl in mochpaz
nin cali ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST",nin cali ueyi in tlalticpac
nin cali ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",nin cali ueyi miqui
tiualasqueh nican,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:NEG",tiualasqueh niman
amo oyah nimochan yexpa,"ASPECT:IMPFV, PERSON[POSS]:1_PL, PERSON[SUBJ]:2_PL, TYPE:AFF",amo oyah nimochan yexpa
niquinchihchiutoc yayamatzitzin,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",niquinchihchiutoc nemi yayamatzitzin
tiyasquiah inchan yexpa,"ASPECT:PERFV, MOOD:NA, PERSON[POSS]:2_PL, PERSON[SUBJ]:3_SI, TENSE:PAST, TYPE:NEG",tiyamiquiah inchan yexpa
amo masectlali ipan mesa,"MOOD:IMP, PERSON[OBJ]:REFL, PERSON[SUBJ]:2_PL",amatlactia inmesa
ninqueh calmeh amo ocatcah uehueyen,"TENSE:FUT, TYPE:AFF",ninqueh calmeh amo ocatcah uehueyen in oquichtli
nin cali isqui ueyi,"ASPECT:IMPFV, TENSE:PAST",nin cahcali isqui ueyi
nin cali ueyi,PERSON[SUBJ]:3_PL,nin cali ueyi
tiualasqueh nican,"MOOD:OPT, PERSON[SUBJ]:3_SI",tiualasqueh niman
xiuiqueh nican,"MOOD:NA, PERSON[SUBJ]:1_PL, TENSE:FUT",xiquimotl nican
oquintlaleh ipan mesa,"MOOD:IMP, PERSON[OBJ]:REFL, PERSON[SUBJ]:2_PL, TYPE:NEG",oquintlalehmo ipan mesa
nin cali ocatca ueyi,"PERSON[SUBJ]:3_PL, TENSE:FUT",nin cali ocatca ueyi
in chilmeh isqueh chichiltiqueh,"PERSON[POSS]:3_SI, TENSE:PRES, TYPE:NEG",in niquimati chilmeh in niquimati isqueh in niquimati chichiltiqueh
tiyasquiah inchan yexpa,"MOOD:NA, PERSON[POSS]:1_SI, PERSON[SUBJ]:3_SI, TENSE:PRES",tiyasquiah inchan yexpa
youi nochan yexpa,"ASPECT:PERFV, PERSON[POSS]:2_PL, TENSE:PAST, TYPE:NEG",nochan yexpa itech
in chilmeh chichiltiqueh,"ASPECT:IMPFV, PERSON[SUBJ]:3_SI, TENSE:PAST",in chilmeh chichiltiqueh
tiuitzeh nican,"MOOD:COND, PERSON[SUBJ]:2_PL, TYPE:NEG",tiuitzeh nican noyollo
in chilmeh chichiltiqueh,"PERSON[POSS]:3_SI, TYPE:NEG",in chilmeh chichiltiqueh noyollo
xiuiqui nican,"MOOD:COND, PERSON[SUBJ]:2_PL, TYPE:NEG",ximomachtin nican
ninqueh calmeh uehueyen,"ASPECT:IMPFV, PERSON[SUBJ]:3_SI, TENSE:PAST",ninqueh calmeh uehueyen in tlen tlen
nin cali amo ueyi,"ASPECT:IMPFV, PERSON[SUBJ]:3_PL, TENSE:PAST",nin cali amo ueyi in tlen amo ueyi
nin cali ueyi,TYPE:NEG,nin cali ueyi
tehuan tiquintzahtzilitinimeh moprimos,"ASPECT:IMPFV, HON:1, PERSON[OBJ]:2_SI, PERSON[POSS]:NA, PERSON[SUBJ]:3_SI, TENSE:PAST, TYPE:NEG",tiquintzahtzilitinimeh nimitzmoprimos
nicchihchiuas yayamatzin,"ASPECT:IMPFV, PERSON[OBJ]:3_PL, PERSON[SUBJ]:3_PL, TENSE:PAST, TYPE:NEG",nicchihchiuasque yayamatzinque
xiuiqui nican,"MOOD:NA, PERSON[SUBJ]:1_PL, TENSE:PRES",niman niquintin
amo oniyaca in iluitl ,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:AFF",amon oniyacan in iluitl
xiuiqueh nican,"MOOD:NA, PERSON[SUBJ]:1_PL, TENSE:PRES",niman xiuiqueh
youi in iluitl,"PERSON[SUBJ]:3_PL, TYPE:NEG",amo in iluitl
uitz nican,MOOD:OPT,uitz nican teotl
in chili ocatca chichiltic,"PERSON[SUBJ]:3_PL, TENSE:FUT",in chili ocatca chichiltic
otoconchichiu yayamatzin,"HON:NA, MOOD:INT, TENSE:FUT",otoconchichiu yayamatzin inoan
tiuitzeh nican,"MOOD:OPT, PERSON[SUBJ]:3_PL, TYPE:NEG",tiuitzeh niman
