ID	Source	Change	System	Output
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	TARGET_____	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX3____	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX5____	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10__	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX20__	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX3_POS	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX5_POS	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10POS	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX20POS	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0056	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10BGR	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	TARGET_____	Leti'e' ma' áak'ab ku bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX3____	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX5____	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10__	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX20__	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX3_POS	* #Teche' ma' áak'ab #ka bin koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX5_POS	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10POS	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX20POS	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0057	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:2_SI	GPT_EX10BGR	* #Teche' ma' áak'ab #ka bin tu k'íiwikil koonoli'
Maya0058	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:1_PL	TARGET_____	To'one' ma' áak'ab k bin tu k'íiwikil koonoli'
Maya0058	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:1_PL	GPT_EX3____	To'one' ma' áak'ab k bin tu k'íiwikil koonoli'
Maya0058	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:1_PL	GPT_EX5____	To'one' ma' áak'ab k bin tu k'íiwikil koonoli'
Maya0058	[Tene' ma' áak'ab kin bin tu k'íiwikil koonoli']	PERSON:1_PL	GPT_EX10__	* To'one' ma' áak'ab #kek bin tu k'íiwikil koonoli'
