ID	Source	Change	System	Output
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	TARGET_____	Peteĩ ko’ẽme noñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX3____	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX5____	* Peteĩ ko’ẽme #ndonombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX10__	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX20__	* Peteĩ ko’ẽme #noñombohovairi rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX3_POS	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX5_POS	* #Ndoñombohováiri rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX10POS	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX20POS	Peteĩ ko’ẽme noñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	DSK_EX10___	* Peteĩ ko’ẽme #ndoñombohovaí rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	DSK_EX10POS	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0010	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	TYPE:NEG	GPT_EX10BGR	* Peteĩ ko’ẽme #ndoñombohovai rakúma hikuái
Guarani0011	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	PERSON:2_PL	TARGET_____	Peteĩ ko’ẽme nde reñombohovai rakúma
Guarani0011	[Peteĩ ko’ẽme oñombohovai rakúma hikuái]	PERSON:2_PL	GPT_EX3____	* Peteĩ ko’ẽme #peñombohovai rakúma #peẽ
