Source,Change,Target
Ta jutaj a najil,TYPE:NEG,Ta jutaj ma najil
Ta jutaj a najil,SUBTYPE:INT,Ta jutaj a najil.
Ta jutaj a najil,"TYPE:NEG, SUBTYPE:INT",Ta jutaj a najil maya
Ma' táan in bin in wil in waalak'o'obi',ASPECT:DES,Ma' táan in bin in wil in waalak'o'obi'
Ma' táan in bin in wil in waalak'o'obi',"ASPECT:OBL, TENSE:FUT_SIM",Ma' táan in bin in wil in waalak'o'obi' k'áantaj.
Ma' táan in bin in wil in waalak'o'obi',ASPECT:CUS,Ma' táan in bin in wil in waalak'o'obi'
Ma' táan in bin in wil in waalak'o'obi',"ASPECT:BEG, TENSE:PAS_SIM",Ma' táan in bin in wil in waalak'o'obi'
Tene' ajk'aayen,PERSON:3_SI,Ajk'aayen tene'w
Tene' ajk'aayen,PERSON:2_SI,Tene' ajk'aayen chi
Tene' ajk'aayen,PERSON:1_PL,Ajk'aayen tene'
Tene' ajk'aayen,PERSON:2_PL,Ajk'aayen tene' chik
Tene' ajk'aayen,PERSON:3_PL,Tene' ajk'aayen
Tene' áak'ab kin suut tu najil xook,TYPE:NEG,Tene' ma'áak'ab kin suut tu najil xook
Tene' áak'ab kin suut tu najil xook,SUBTYPE:INT,K'áaxal u t'aan najil xook
Tene' áak'ab kin suut tu najil xook,"TYPE:NEG, SUBTYPE:INT",Ma' tene' áak'ab kin suut tu najil xook?
Táan in suut in páak le solaro',"ASPECT:COM, TENSE:FUT_SIM",Táan in suut in páak le solaro' k'a'ab.
Táan in suut in páak le solaro',ASPECT:DES,Táan in suut in páak le solaro' chúum
Táan in suut in páak le solaro',"ASPECT:OBL, TENSE:FUT_SIM",Táan in suut in páak le solaro' u xáan
Táan in suut in páak le solaro',ASPECT:HAB,Táan in suut in páak le solaro'
Táan in suut in páak le solaro',ASPECT:CUS,Táan in suut in páak le solaro' cúuch
Táan in suut in páak le solaro',"ASPECT:TER, TENSE:PAS_SIM",Táan in suut in páak le solaro'.
Táan in suut in páak le solaro',"ASPECT:BEG, TENSE:PAS_SIM",Táan in suut in páak le solaro' u k'áan
Táan in suut in páak le solaro',"ASPECT:IMM, TENSE:PAS_SIM",Táan in suut in páak le solaro'.
Ta p'axaj a wotoch,SUBTYPE:INT,Ta p'axaj a wotoch
Ta p'axaj a wotoch,"TYPE:NEG, SUBTYPE:INT",Ma p'axaj a wotoch?
Ta p'axaj a wotoch,"TYPE:NEG, PERSON:1_SI",Ma' p'axaj a wotoch
Tin p'axaj u lu'umil uti'al in beetik in najil,SUBTYPE:INT,What is the total number of beetles and ants?
Tin p'axaj u lu'umil uti'al in beetik in najil,TYPE:NEG,Tin ma' p'axaj u lu'umil uti'al in beetik in najil
Tin p'axaj u lu'umil uti'al in beetik in najil,"TYPE:NEG, SUBTYPE:INT",Ma' k'a'aj u lu'umil uti'al in beetik in najil
Yaan wáaj in wokol xook UPN,PERSON:2_SI,Yaan wáaj in wokol xook UPN.
Yaan wáaj in wokol xook UPN,PERSON:3_SI,Yaan wáaj in wokol xook UPN
Yaan wáaj in wokol xook UPN,PERSON:3_PL,Yaan wáaj in wokol xook UPN
Yaan wáaj in wokol xook UPN,PERSON:2_PL,Yaan wáaj in wokol xook UPN
Yaan wáaj in wokol xook UPN,PERSON:1_PL,Yaan wáaj in wokol xook UPN
Teche' ka bin xíimbal Chichen Itzá,SUBTYPE:INT,Teche' ka bin xíimbal Chichen Itzá?
Teche' ka bin xíimbal Chichen Itzá,"TYPE:NEG, ASPECT:PRG",Ma' teche' ka bin xíimbal Chichen Itzá
Teche' ka bin xíimbal Chichen Itzá,"TYPE:NEG, SUBTYPE:INT, ASPECT:PRG",Ma'teche' ka ma bin xíimbal Chichen Itzá
Sáansamal kin kaambal tu jo'ol in meyaj,PERSON:2_SI,Sáansamal k'uk kaambal tu jo'ol in meyaj
Sáansamal kin kaambal tu jo'ol in meyaj,PERSON:3_SI,Sáansamal kin kaambal tu jo'ol in meyaj
Sáansamal kin kaambal tu jo'ol in meyaj,PERSON:3_PL,Sáansamal kin kaambal tu jo'ol in meyaj
Sáansamal kin kaambal tu jo'ol in meyaj,PERSON:2_PL,Sáansamal kin kaambal tu jo'ol in meyaj
Teche' ka jóok'ol cha'an tu yéetel,TYPE:NEG,Ma' táan ka jóok'ol cha'an tu yéetel
Teche' ka jóok'ol cha'an tu yéetel,SUBTYPE:INT,¿Táan u yéetel ka k'áato'ob ti' u yéetel?
Teche' ka jóok'ol cha'an tu yéetel,"TYPE:NEG, SUBTYPE:INT",Ma'alob kíin ka jóok'ol cha'an tú yéetel
Táan in xook UADY,PERSON:2_SI,Táan in xook UADY
Táan in xook UADY,PERSON:3_SI,Táan in xook UADY yéetel ti' UADY
Táan in xook UADY,PERSON:3_PL,Táan in xook UADY
Táan in xook UADY,PERSON:2_PL,Táan in xook UADY
Táan in xook UADY,PERSON:1_PL,Táan in xook UADY
Máax yéetel ka bin xíimbal Uxmal,"ASPECT:TER, TENSE:PAS_SIM",Ka bin xíimbal Uxmal tu káajal
Máax yéetel ka bin xíimbal Uxmal,"ASPECT:INS, TENSE:FUT_SIM",Máax yéetel ka bin xíimbal Uxmal ti' u yéetel
Tene' áak'ab kin suut tin meyaj,PERSON:2_SI,Tene' áak'ab kin suut tin meyaj ti'
